label	text
1	CONCLUSIONS: Staphylococcus lentus has never before been reported as a human pathogen in the sinonasal cavities.
1	Dynamic simulation of continuous mixed sugar fermentation with increasing cell retention time for lactic acid production using Enterococcus mundtii QU 25.
1	Nucleotide sequence and analysis of pRC12 and pRC18, two theta-replicating plasmids harbored by Lactobacillus curvatus CRL 705.
1	The increased use of antibiotics was an independent risk factor for S. maltophilia infection, which should receive more attention.
1	Co-encapsulation of slow release compounds and Rhodococcus rhodochrous ATCC 21198 in gellan gum beads to promote the long-term aerobic cometabolic transformation of 1,1,1-trichloroethane, cis-1,2-dichloroethene and 1,4-dioxane.
1	In this study, we investigated the effect of Prevotella histicola or Prevotella melaninogenica, isolated from the duodenum of a treated CeD patient, on the induction and maintenance of oral tolerance to gliadin, a CeD associated subgroup of gluten proteins, in NOD.DQ8.ABo transgenic mice.
0	When Clostridium beijerinckii was cultivated at 30 °C in the hydrolyzed POME (P003), containing 7.5 g/L of sucrose, during 8 days of fermentation and 20 % of the inoculum, the maximum biohydrogen production yield was 4.62 LH2/Lmed.
0	[Efficiency of RNA Hydrolysis by Binase from Bacillus pumilus: The Impact of Substrate Structure, Metal Ions, and Low Molecular Weight Nucleotide Compounds].
1	Laboratory tests revealed Streptococcus oralis meningitis caused by odontogenic bacteremia.
1	This study suggests that the trans-translation system might be an effective target in clinical treatment of A. veronii and other multi-antibiotic resistance bacteria with trimethoprim.
0	Complete genome sequence data of Lactobacillus sakei MBEL1397 isolated from kimchi.
1	Culture of purulent nasal secretions revealed the rare enterobacter Cedecea lapagei The patient had complete resolution of his symptoms after a 14-day course of gentamicin/dexamethasone nasal rinses.
1	All approaches functioned well in the pan-genome analysis of Campylobacter jejuni with real reads.
0	It appears that L. harbinensis M1 has much potential for improving the organoleptic  properties of fermented soymilk.
0	This finding, in combination with its antibacterial activity  against P. larvae, highlights this novel isolate as a potential natural preserving agent against AFB.
0	The matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF MS) was compatible with Actinomyces oris.
0	METHODS: For humanization, we transplanted pooled feces from healthy, noncolonized human donors supplemented with a human O. formigenes strain into recipient mice.
1	Data on genome sequencing, assembly, annotation and genomic analysis of Rhodococcus rhodochrous strain SPC17 isolated from Lonar Lake.
1	SFB-mouse and Lactobacillus murinus were included.
1	The marine bacterium Stenotrophomonas rhizophila was assessed in vitro and in vivo as biocontrol agent against anthracnose disease of mango fruit caused by Colletotrichum gloeosporioides.
1	A mediator biosensor based on Paracoccus yeei bacteria for assaying the toxicity  of perfumery and cosmetics samples was developed.
0	Detection and genetic characterization of the colistin resistance gene mcr-3.3 in an Aeromonas veronii strain isolated from alligator faeces.
1	Raoultella ornithinolytica and Klebsiella oxytoca pyogenic liver abscess presenting as chronic cough.
0	Biokinetics of protein degrading Clostridium cadaveris and Clostridium sporogenes in batch and continuous mode of operations.
0	In the present study, the in vitro bactericidal activities of meropenem, either alone or in combination with colistin, levofloxacin, or chloramphenicol, were assessed using A. xylosoxidans strains isolated from CF patients.
0	The theoretical specific growth rate of C. sporogenes always exceeded than that of C. cadaveris at peptone concentration higher than 3.62 g/L.
1	However, only 7 species maintained a false discovery rate of ≤0.2 and could cluster the two groups separately: Rothia mucilaginosa, Streptococcus sp.
1	Based on phylogenetic analyses, strain M2a isolated from honey, an unexpected source of acinetobacters, was classified as Acinetobacter lwoffii.
1	Analysis of 16S rDNA gene sequences revealed that these  bacteria belong to Bacillus cereus and Lysinibacillus boronitolerans species.
0	Since K647 is conserved in the CGTase family, the corresponding residues in the CGTases from Bacillus circulans 251, Paenibacillus  macerans, and Anaerobranca gottschalkii were changed to glutamic acid.
1	Clinicopathological and radiographic features in 40 cats diagnosed with pulmonary and cutaneous Rhodococcus equi infection (2012-2018).
0	Fermented whey-based beverages were elaborated using commercial probiotics cultures (CHR HANSEN): BCT-1®, ABT-4®, ABC where A: Lactobacillus acidophilus, B: Bifidobacterium animalis subsp.
0	Proteus mirabilis is a Gram negative bacterium that is a frequent cause of catheter-associated urinary tract infections (CAUTIs).
1	CONCLUSION: Patients diagnosed with gastric cancer after H. pylori eradication tended to have advanced gastritis.
0	CONCLUSIONS: Proteus mirabilis is an uncommon cause of microbial keratitis.
1	The data show that S. gordonii binding force to the C. albicans surface is significantly higher than that ofS.
1	Seven EA cluster microbacteriophages were isolated from soil collected around Philadelphia, PA, using the bacterial host Microbacterium foliorum All of these phages have a highly conserved genome with regions of diversity localized to the  3' end.
1	This study evaluates the effect of 10% (w/w) trehalose addition and/or 100 MPa homogenization on Lactobacillus salivarius CECT 4063 counts and antioxidant properties of apple slices dried to different water activity values (freeze-drying to a aw of 0.25 and air-drying at 40 °C to a aw of 0.35 and 0.45)  during four-week storage.
1	Responses to sunlight exposure of the oil-degrading Dietzia cinnamea P4 strain were evaluated by transcriptional levels of SOS genes, photoreactivation and genes involved in tolerance to high levels of reactive oxygen species.
1	Azithromycin susceptibility of Neisseria gonorrhoeae in the USA in 2017: a genomic analysis of surveillance data.
1	Actinomyces graevenitzii was shown to be significantly associated with  the halitosis condition.
1	We tested 60 gram-negative clinical isolates of Pseudomonas aeruginosa (N=27) and Acinetobacter calcoaceticus-baumannii complex (N=33).
0	For such a purpose, the tolerance of different B. coagulans strains to increasing concentrations of inhibitors is studied.
1	Acetobacter pasteurianus 386B is a candidate functional starter culture for the cocoa bean fermentation process.
1	Endogenous Clostridium septicum endophthalmitis is a rare and fulminant ocular infection, usually encountered in immunocompromised or diabetic patients.
0	Enrichment in RCM-D yielded about 0.5 to 5.8 log CFU/ml total Paenibacillus and 0.3 to 4.6 log CFU/ml P. macerans in the samples.
1	Background: Granulicatella adiacens is a nutritional variant of streptococcus (NVS), which has been rarely reported as an etiologic agent in spondylodiscitis (SD).
1	Thirteen different Prevotella species were identified, Prevotella bivia and Prevotella nigrescens were the most prevalent species (n= 21) followed by Prevotella buccae (n= 19).
1	[Epub ahead of print]  Oral administration of Flavonifractor plautii attenuates inflammatory responses in obese adipose tissue.
0	EPS derived from mercury methylating bacteria, particularly Desulfovibrio desulfuricans ND132, substantially increase the methylation potential of nanoparticulate mercury.
0	Noteworthy, T. whipplei was positive in 7% and T. trichirua in 23% of the samples.
1	In addition, NF-κB activation as well as phosphorylation of STAT1/3 induced by P. intermedia LPS was suppressed by nifedipine.
0	Pseudomonas taetrolens constitutes an efficient platform for the biosynthesis of  lactobionic acid, a potentially prebiotic compound.
0	The ability of imipenem to synergize with N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine (TPEN), a zinc chelator and a  metallo-β-lactamases (MBLs) inhibitor, to inhibit M. abscessus growth was also assessed.
0	[Epub ahead of print]  Direct interactions with commensal streptococci modify intercellular communication behaviors of Streptococcus mutans.
0	This study not only reveals the function of the fnr genes of P. polymyxa WLY78 in nitrogen fixation and other metabolisms but also will provide insight into the evolution and regulatory mechanisms of fnr in Paenibacillus.
0	Synergistic antimicrobial activity of oregano and thyme thymol essential oils against Leuconostoc citreum in a laboratory medium and tomato juice.
1	Immersion challenge using three successive 10-fold serial dilutions (2 × 104 to 2 × 106 CFU/mL) revealed that A. schubertii was pathogenic to shrimp  and cumulative mortalities were dose-dependent (45-70%).
1	HapR is designated as a high cell density quorum sensing master regulatory protein of Vibrio cholerae.
0	The MPs successfully protected Staphylococcus lentus from VCM in vitro because of the adsorption of VCM in the culture media.
0	Complete genome sequence of fish-pathogenic Aeromonas hydrophila HX-3 and a comparative analysis: insights into virulence factors and quorum sensing.
1	[Vaccination against Haemophilus influenzaetype b; why and how?]
0	Clostridaceae 1, Clostridium sensu stricto, Escherichia coli, and Streptococcus alactolyticus were detected in all samples and contributed to more  than 70% of the total community.
0	Among our significant findings, we found that cesarean section delivery is associated with  a decreased abundance of Bacteroides vulgatus and Bacteroides dorei and of folate biosynthesis pathway and with an increased abundance of hydroxyphenylacetic acid, alterations that are implicated in immune system dysfunction and inflammatory conditions.
0	The issue of spreading antibiotic resistance of H. pylori and its limited therapeutic options is an important topic in modern gastroenterology.
1	Staphylococcus xylosus, a coagulase-negative Staphylococcus, is frequently isolated from food products of animal origin and used as a starter culture in these products in which it contributes to their flavour, while Staphylococcus aureus, a coagulase-positive bacterium, causes foodborne intoxication and is implicated in a broad diversity of infections in medical sector, notably in nosocomial infections.
1	There were significant decreases in the relative proportions of cellulolytic (Fibrobacter succinogenes and Ruminococcus albus) and lipolytic (Anaerovibrio lipolytica and Butyrivibrio proteoclasticus) bacteria with increasing levels of LPL supplementation (Lin, p = 0.028, 0.006, 0.003, and  0.003, respectively).
0	DIAGNOSIS: Since the bacterial culture of peritoneal exudate showed positive with Enterobacter aerogenes and Pseudomonas aeruginosa after the second surgery, and the patient had severe low blood pressure, hyoxemia and oliguria, combined with the laboratory tests results, he was diagnosed with Gram-negative related septic  shock, acute kidney injury, and multiple organ dysfunction.
1	RESULTS: Among all samples tested (N = 151), 89% were contaminated with Shigella, 68% with V. cholerae and NoV-GII, 32% with Giardia, 17% with S. Typhi and 6% with Cryptosporidium.
1	[Epub ahead of print]  Intranasal Bifidobacterium longum protects against viral-induced lung inflammation and injury in a murine model of lethal influenza infection.
0	The novel variant F-like T4SS of plasmid pCYNDM01 might be as a tool of R. ornithinolytica  B1645-1 for resistance genes transfer.
1	This chitinase from the A. xylosoxidans was 100% active at an optimum temperature of 45 °C (withstand up to 55 °C) and pH 8 with 80% stability.
1	Raoultella ornithinolytica is a species in the Enterobacteriaceae family which can cause hospital-acquired infections and is sporadically reported as carbapenem-resistant from human and environmental sources.
1	eCollection 2020 Dec.  Adaptive laboratory evolution of Pseudomonas putida KT2440 improves p-coumaric and ferulic acid catabolism and tolerance.
0	Bacillus subtilis ANSB01G culture alleviates oxidative stress and cell apoptosis  induced by dietary zearalenone in first-parity gestation sows.
0	The Shannon index was decreased and the Firmicutes/Bacteroidetes ratio was increased (Friedman followed by Dunn's test, p < 0.05), while abundances of various species (such as Allobaculum stercoricanis,  Barnesiella intestihominis, and Roseburia faecis) were significantly different at day 18 compared with pre-pregnancy.
1	In addition to B. fragilis toxin (BFT) and its potential role in the diarrhea and cancer development, some other important virulence factors and characteristics of B. fragilis are described including capsular polysaccharides, iron acquisition, resistance to antimicrobial agents, and survival during the prolonged oxidative stress, quorum sensing, and secretion systems.
1	Three distinct metagenomic analysis methods of Bifidobacterium-enriched DNA revealed intraindividual temporal stability of B. longum, B. adolescentis, and B. bifidum strains against the background of a changeable microbiome.
1	Hereto, Streptococcus oralis, Actinomyces naeslundii, and S. mutans were grown together on different surfaces in the absence and presence of an adsorbed SCF.
1	Weissella confusa DD_A7 pre-treatment to zebrafish larvae ameliorates the inflammation response against Escherichia coli O157:H7.
1	Bacteroides fragilis (BF) plays a critical role in developing and maintaining the mammalian immune system.
0	[Epub ahead of print]  Inhibition of quorum sensing-controlled virulence factors with natural substances and novel protease, obtained from Halobacillus karajensis.
1	Weissella cibaria CMU exerts an anti‑inflammatory effect by inhibiting Aggregatibacter actinomycetemcomitans‑induced NF‑κB activation in macrophages.
