species	category
Lactobacillus rhamnosus	One Daily Mens
Bacillus subtilis	Probiotic
Bifidobacterium longum	One Daily Mens
Lactobacillus acidophilus	One Daily Mens
Lactobacillus casei	One Daily Mens
Lactobacillus plantarum	One Daily Mens
Lactobacillus paracasei	One Daily Mens
Lactobacillus brevis	One Daily Mens
Lactobacillus salivarius	One Daily Mens
Lactobacillus fermentum	One Daily Mens
Bifidobacterium bifidum	One Daily Mens
Bifidobacterium breve	One Daily Mens
Bifidobacterium animalis	One Daily Mens
Lactococcus lactis	Wholesome
Leuconostoc mesenteroides	Wholesome
Leuconostoc lactis	Wholesome
