species
Abiotrophia defectiva
Acetobacter pasteurianus
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus massiliensis
Acidaminococcus timonensis
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter septicus
Acinetobacter towneri
Acinetobacter ursingii
Acinetobacter variabilis
Actinobaculum massiliense
Actinomyces bouchesdurhonensis
Actinomyces dentalis
Actinomyces europaeus
Actinomyces graevenitzii
Actinomyces grossensis
Actinomyces ihumii
Actinomyces johnsonii
Actinomyces naeslundii
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces oris
Actinomyces phoceensis
Actinomyces polynesiensis
Actinomyces provencensis
Actinomyces radingae
Actinomyces turicensis
Actinomyces urogenitalis
Adlercreutzia equolifaciens
Aeribacillus pallidus
Aerococcus viridans
Aeromicrobium massiliense
Aeromicrobium tamlense
Aeromonas bestiarum
Aeromonas caviae
Aeromonas enteropelogenes
Aeromonas eucrenophila
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas popoffii
Aeromonas salmonicida
Aeromonas schubertii
Aeromonas veronii
Africanella massiliensis
Agathobaculum butyriciproducens
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrococcus casei
Agrococcus jenensis
Agrococcus terreus
Akkermansia muciniphila
Alcaligenes faecalis
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes jeddahensis
Alistipes massiliensis
Alistipes obesi
Alistipes obesihominis
Alistipes onderdonkii
Alistipes phoceensis
Alistipes provencensis
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Alkalibacillus halophilus
Allisonella histaminiformans
Alloscardovia omnicolens
Aminipila butyrica
Anaerococcus hydrogenalis
Anaerococcus jeddahensis
Anaerococcus murdochii
Anaerococcus obesihominis
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus provencensis
Anaerococcus rubiinfantis
Anaerococcus senegalensis
Anaerococcus vaginalis
Anaerofustis massiliensis
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaeromassilibacillus senegalensis
Anaerosalibacter bizertensis
Anaerosalibacter massiliensis
Anaerosalibacter timonensis
Anaerospora hongkongensis
Anaerostipes caccae
Anaerostipes hadrus
Anaerotignum lactatifermentans
Anaerotruncus colihominis
Anaerotruncus massiliensis
Anaerotruncus rubiinfantis
Ancylobacter polymorphus
Ancylomarina subtilis
Aneurinibacillus aneurinilyticus
Aneurinibacillus migulanus
Anoxybacillus flavithermus
Aquamicrobium lusatiense
Arabia massiliensis
Arcanobacterium haemolyticum
Arthrobacter agilis
Arthrobacter albus
Arthrobacter aurescens
Arthrobacter castelli
Arthrobacter cumminsii
Arthrobacter gandavensis
Arthrobacter ilicis
Arthrobacter koreensis
Arthrobacter luteolus
Arthrobacter oxydans
Arthrobacter parietis
Arthrobacter pigmenti
Arthrobacter polychromogenes
Arthrobacter pyridinolis
Asaccharobacter celatus
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Azospirillum halopraeferens
Bacillus altitudinis
Bacillus amyloliquefaciens
Bacillus andreesenii
Bacillus andreraoultii
Bacillus aquimaris
Bacillus arsenicus
Bacillus atrophaeus
Bacillus badius
Bacillus baekryungensis
Bacillus bataviensis
Bacillus beijingensis
Bacillus benzoevorans
Bacillus cereus
Bacillus circulans
Bacillus clausii
Bacillus coagulans
Bacillus cohnii
Bacillus endophyticus
Bacillus firmus
Bacillus flexus
Bacillus fordii
Bacillus galactosidilyticus
Bacillus gibsonii
Bacillus halodurans
Bacillus humi
Bacillus idriensis
Bacillus infantis
Bacillus jeddahensis
Bacillus jeddahtimonensis
Bacillus jeotgali
Bacillus koreensis
Bacillus kyonggiensis
Bacillus lentus
Bacillus licheniformis
Bacillus litoralis
Bacillus marisflavi
Bacillus massilioamazoniensis
Bacillus massilioanorexius
Bacillus massiliogabonensis
Bacillus massilionigeriensis
Bacillus massiliosenegalensis
Bacillus mediterraneensis
Bacillus megaterium
Bacillus methylotrophicus
Bacillus mojavensis
Bacillus mycoides
Bacillus nealsonii
Bacillus niabensis
Bacillus niacini
Bacillus niameyensis
Bacillus okuhidensis
Bacillus oleronius
Bacillus oshimensis
Bacillus pakistanensis
Bacillus phoceensis
Bacillus pichinotyi
Bacillus pocheonensis
Bacillus polyfermenticus
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus psychrosaccharolyticus
Bacillus pumilus
Bacillus rubiinfantis
Bacillus saudii
Bacillus schlegelii
Bacillus senegalensis
Bacillus simplex
Bacillus siralis
Bacillus soli
Bacillus sonorensis
Bacillus subterraneus
Bacillus subtilis
Bacillus testis
Bacillus thermoamylovorans
Bacillus thuringiensis
Bacillus timonensis
Bacillus touaregensis
Bacillus vallismortis
Bacillus vietnamensis
Bacillus weihenstephanensis
Bacteroides bouchedurhonense
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides clarus
Bacteroides coagulans
Bacteroides congolense
Bacteroides coprocola
Bacteroides dorei
Bacteroides eggerthii
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides graminisolvens
Bacteroides intestinalis
Bacteroides koreensis
Bacteroides kribbi
Bacteroides massiliensis
Bacteroides mediterraneense
Bacteroides neonati
Bacteroides nordii
Bacteroides ovatus
Bacteroides phoceense
Bacteroides plebeius
Bacteroides propionicifaciens
Bacteroides salyersiae
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides timonense
Bacteroides timonensis
Bacteroides uniformis
Bacteroides vulgatus
Bacteroides xylanisolvens
Bacteroides xylanolyticus
Bariatricus massiliensis
Barnesiella intestinihominis
Barnesiella viscericola
Bartonella vinsonii
Beduinella massiliensis
Beduini massiliensis
Bhargavaea cecembensis
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium apri
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium choerinum
Bifidobacterium dentium
Bifidobacterium faecale
Bifidobacterium kashiwanohense
Bifidobacterium longum
Bifidobacterium pseudocatenulatum
Bifidobacterium pullorum
Bifidobacterium saeculare
Bifidobacterium scardovii
Bifidobacterium stercoris
Bifidobacterium thermacidophilum
Bilophila wadsworthia
Bittarella massiliensis
Blastococcus massiliensis
Blautia caecimuris
Blautia coccoides
Blautia faecis
Blautia glucerasea
Blautia hansenii
Blautia hominis
Blautia hydrogenotrophica
Blautia luti
Blautia marasmi
Blautia massiliensis
Blautia obeum
Blautia phoceensis
Blautia producta
Blautia schinkii
Blautia timonensis
Blautia wexlerae
Bordetella bronchiseptica
Bordetella trematum
Brachybacterium massiliense
Brachybacterium paraconglomeratum
Brassicibacter mesophilus
Brenneria alni
Brevibacillus agri
Brevibacillus borstelensis
Brevibacillus brevis
Brevibacillus choshinensis
Brevibacillus formosus
Brevibacillus laterosporus
Brevibacillus massiliensis
Brevibacillus parabrevis
Brevibacterium casei
Brevibacterium celere
Brevibacterium epidermidis
Brevibacterium halotolerans
Brevibacterium linens
Brevibacterium luteolum
Brevibacterium massiliense
Brevibacterium otitidis
Brevibacterium paucivorans
Brevibacterium phoceense
Brevibacterium pityocampae
Brevibacterium ravenspurgense
Brevibacterium senegalense
Brevinema andersonii
Brevundimonas diminuta
Butyricicoccus pullicaecorum
Butyricimonas massiliensis
Butyricimonas phoceensis
Butyricimonas timonensis
Butyricimonas virosa
Caecumella massiliensis
Calditerricola satsumensis
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter gracilis
Campylobacter jejuni
Campylobacter showae
Campylobacter ureolyticus
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga ochracea
Capnocytophaga sputigena
Caproiciproducens galactitolivorans
Carnobacterium divergens
Carnobacterium maltaromaticum
Carnobacterium mobile
Casaltella massiliensis
Catabacter hongkongensis
Catenibacterium mitsuokai
Cedecea lapagei
Cedecea neteri
Cellulomonas composti
Cellulomonas denverensis
Cellulomonas flavigena
Cellulomonas hominis
Cellulomonas massiliensis
Cellulomonas parahominis
Cellulomonas timonensis
Cellulosimicrobium cellulans
Cerasibacillus quisquiliarum
Christensenella massiliensis
Christensenella minuta
Christensenella timonensis
Chromohalobacter japonicus
Chryseobacterium gleum
Chryseobacterium hominis
Chryseobacterium indologenes
Chryseobacterium taklimakanense
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter gillenii
Citrobacter koseri
Citrobacter murliniae
Citrobacter sedlakii
Citrobacter youngae
Cloacibacillus evryensis
Cloacibacillus porcorum
Clostridium acetireducens
Clostridium aerotolerans
Clostridium aldenense
Clostridium amazonitimonense
Clostridium aminovalericum
Clostridium amygdalinum
Clostridium amylolyticum
Clostridium asparagiforme
Clostridium baratii
Clostridium bartlettii
Clostridium beduini
Clostridium beijerinckii
Clostridium bifermentans
Clostridium bolteae
Clostridium botulinum
Clostridium bouchedurhonense
Clostridium butyricum
Clostridium cadaveris
Clostridium carboxidivorans
Clostridium carnis
Clostridium celatum
Clostridium celerecrescens
Clostridium celerescens
Clostridium citroniae
Clostridium clostridioforme
Clostridium cochlearium
Clostridium cocleatum
Clostridium colicanis
Clostridium culturomicsense
Clostridium dakarense
Clostridium difficile
Clostridium diolis
Clostridium disporicum
Clostridium ghonii
Clostridium glycolicum
Clostridium glycyrrhizinilyticum
Clostridium hathewayi
Clostridium histolyticum
Clostridium hylemonae
Clostridium ihumii
Clostridium indolis
Clostridium innocuum
Clostridium irregulare
Clostridium jeddahense
Clostridium jeddahtimonense
Clostridium lactatifermentans
Clostridium lavalense
Clostridium leptum
Clostridium lituseburense
Clostridium mangenotii
Clostridium marseillense
Clostridium massilioamazoniense
Clostridium massiliodielmoense
Clostridium massiliosenegalense
Clostridium mediterraneense
Clostridium methylpentosum
Clostridium neonatale
Clostridium nexile
Clostridium niameyense
Clostridium nigeriense
Clostridium novyi
Clostridium oroticum
Clostridium paraperfringens
Clostridium paraputrificum
Clostridium perfringens
Clostridium phoceense
Clostridium polynesiense
Clostridium propionicum
Clostridium ramosum
Clostridium rectum
Clostridium saccharogumia
Clostridium saccharolyticum
Clostridium sardiniense
Clostridium sartagoforme
Clostridium saudiense
Clostridium saudii
Clostridium schirmacherense
Clostridium scindens
Clostridium senegalense
Clostridium septicum
Clostridium sordellii
Clostridium sphenoides
Clostridium sporogenes
Clostridium straminisolvens
Clostridium subterminale
Clostridium sulfidigenes
Clostridium symbiosum
Clostridium tertium
Clostridium tetani
Clostridium thermocellum
Clostridium thiosulfatireducens
Clostridium touaregense
Clostridium tyrobutyricum
Clostridium venationis
Clostridium viride
Clostridium xylanolyticum
Colidextra massiliensis
Colidextribacter massiliensis
Collinsella aerofaciens
Collinsella gabonensis
Collinsella ihumii
Collinsella intestinalis
Collinsella massiliensis
Collinsella massilioamazoniensis
Collinsella stercoris
Collinsella tanakaei
Colonella massiliensis
Colwellia psychrotropica
Comamonas kerstersii
Coprobacillus cateniformis
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Corynebacterium accolens
Corynebacterium afermentans
Corynebacterium amycolatum
Corynebacterium appendicis
Corynebacterium aurimucosum
Corynebacterium bouchedurhonense
Corynebacterium coyleae
Corynebacterium doosanense
Corynebacterium durum
Corynebacterium efficiens
Corynebacterium flavescens
Corynebacterium freneyi
Corynebacterium glaucum
Corynebacterium glucuronolyticum
Corynebacterium ihumii
Corynebacterium jeddahense
Corynebacterium karolinskerse
Corynebacterium kroppenstedtii
Corynebacterium lascolaense
Corynebacterium lipophiloflavum
Corynebacterium minutissimum
Corynebacterium mucifaciens
Corynebacterium pacaense
Corynebacterium propinquum
Corynebacterium provencense
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudogenitalium
Corynebacterium riegelii
Corynebacterium simulans
Corynebacterium striatum
Corynebacterium suicordis
Corynebacterium sundsvallense
Corynebacterium tuberculostearicum
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Corynebacterium variabile
Cronobacter sakazakii
Cryptobacterium curtum
Culturomica massiliensis
Curtobacterium flaccumfaciens
Cutibacterium acnes
Dakarella massiliensis
Delftia tsuruhatensis
Dermabacter hominis
Dermacoccus barathri
Dermacoccus nishinomiyaensis
Desemzia incerta
Desnuesiella massiliensis
Desulfomassilia massiliensis
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Desulfovibrio intestinalis
Desulfovibrio piger
Dialister invisus
Dialister pneumosintes
Dielma fastidiosa
Dietzia cinnamea
Dietzia maris
Dietzia natronolimnaea
Dorea formicigenerans
Dorea longicatena
Dorea massiliensis
Drancourtella massiliensis
Drancourtella timonensis
Duodena massiliensis
Eggerthella lenta
Eggerthella timonensis
Eikenella corrodens
Eisenbergiella massiliensis
Eisenbergiella tayi
Elizabethkingia meningoseptica
Elizabethkingia miricola
Emergencia timonensis
Empedobacter brevis
Enorma massiliensis
Enorma timonensis
Enterobacter aerogenes
Enterobacter asburiae
Enterobacter cloacae
Enterobacter hormaechei
Enterobacter kobei
Enterobacter ludwigii
Enterobacter massiliensis
Enterobacter timonensis
Enterococcus asini
Enterococcus avium
Enterococcus canintestini
Enterococcus canis
Enterococcus casseliflavus
Enterococcus cecorum
Enterococcus devriesei
Enterococcus diestrammenae
Enterococcus dispar
Enterococcus durans
Enterococcus eurekensis
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus gilvus
Enterococcus hermanniensis
Enterococcus hirae
Enterococcus italicus
Enterococcus malodoratus
Enterococcus massiliensis
Enterococcus mundtii
Enterococcus pallens
Enterococcus phoeniculicola
Enterococcus pseudoavium
Enterococcus raffinosus
Enterococcus rivorum
Enterococcus thailandicus
Enterococcus villorum
Enterorhabdus caecimuris
Enterorhabdus muris
Erysipelatoclostridium ramosum
Escherichia coli
Escherichia fergusonii
Escherichia hermannii
Escherichia marmotae
Eubacterium callanderi
Eubacterium cellulosolvens
Eubacterium contortum
Eubacterium cylindroides
Eubacterium eligens
Eubacterium fissicatena
Eubacterium hallii
Eubacterium infirmum
Eubacterium limosum
